"DISTANCE","Points:0","Points:1","Points:2"
0,0.4375,0.59345,0
0,0.43732,0.59357,0
0,0.43713,0.59375,0
0,0.45312,0.58606,0
0,0.44753,0.58815,0
0,0.43807,0.59318,0
0,0.46202,0.58486,0
0,0.45997,0.58497,0
0,0.46875,0.5849,0
0,0.48438,0.58826,0
0,0.47696,0.58634,0
0,0.47632,0.58618,0
0,0.49545,0.59375,0
0,0.48819,0.58994,0
0,0.42188,0.60736,0
0,0.42084,0.60834,0
0,0.41999,0.60938,0
0,0.42876,0.60063,0
0,0.49839,0.59536,0
0,0.5,0.59631,0
0,0.50837,0.60101,0
0,0.50579,0.59954,0
0,0.51562,0.60534,0
0,0.52168,0.60938,0
0,0.5181,0.6069,0
0,0.41379,0.61691,0
0,0.41193,0.61932,0
0,0.40756,0.625,0
0,0.52744,0.61319,0
0,0.53125,0.61544,0
0,0.54688,0.62359,0
0,0.54418,0.62231,0
0,0.53745,0.6188,0
0,0.54941,0.625,0
0,0.54778,0.62409,0
0,0.40625,0.62662,0
0,0.40024,0.63462,0
0,0.39606,0.64062,0
0,0.407,0.62575,0
0,0.55813,0.62937,0
0,0.5625,0.63143,0
0,0.57812,0.63807,0
0,0.57391,0.63641,0
0,0.5689,0.63423,0
0,0.58288,0.64062,0
0,0.57981,0.63894,0
0,0.39062,0.64813,0
0,0.38717,0.6528,0
0,0.38493,0.65625,0
0,0.39383,0.64383,0
0,0.5901,0.64428,0
0,0.59375,0.64616,0
0,0.60938,0.6547,0
0,0.60595,0.65282,0
0,0.6004,0.6496,0
0,0.61143,0.65625,0
0,0.61031,0.65531,0
0,0.38116,0.66241,0
0,0.37616,0.67072,0
0,0.37551,0.67188,0
0,0.61923,0.66202,0
0,0.625,0.66686,0
0,0.63003,0.67188,0
0,0.6277,0.66918,0
0,0.375,0.67266,0
0,0.36962,0.68212,0
0,0.36676,0.6875,0
0,0.37532,0.67219,0
0,0.63474,0.67776,0
0,0.64062,0.68685,0
0,0.64107,0.6875,0
0,0.64091,0.68722,0
0,0.35938,0.70149,0
0,0.35876,0.70251,0
0,0.35841,0.70312,0
0,0.36421,0.69234,0
0,0.64129,0.68817,0
0,0.6471,0.70312,0
0,0.64546,0.69829,0
0,0.35772,0.70478,0
0,0.35371,0.71308,0
0,0.35111,0.71875,0
0,0.64851,0.71087,0
0,0.64853,0.71103,0
0,0.64959,0.71875,0
0,0.34886,0.72386,0
0,0.34524,0.73288,0
0,0.34477,0.73438,0
0,0.65032,0.72468,0
0,0.65068,0.7288,0
0,0.65092,0.73438,0
0,0.34375,0.73722,0
0,0.34065,0.7469,0
0,0.33967,0.75,0
0,0.34447,0.73509,0
0,0.65145,0.73918,0
0,0.6518,0.74555,0
0,0.65176,0.75,0
0,0.33923,0.75452,0
0,0.33842,0.76029,0
0,0.33768,0.76562,0
0,0.65203,0.75422,0
0,0.65192,0.7613,0
0,0.6515,0.76562,0
0,0.33791,0.77146,0
0,0.33807,0.77557,0
0,0.33822,0.78125,0
0,0.65102,0.77086,0
0,0.65035,0.77535,0
0,0.64897,0.78125,0
0,0.33923,0.78577,0
0,0.34126,0.79439,0
0,0.34166,0.79688,0
0,0.64682,0.78744,0
0,0.64285,0.79688,0
0,0.6443,0.7932,0
0,0.34228,0.79834,0
0,0.34375,0.80143,0
0,0.34708,0.80917,0
0,0.3488,0.8125,0
0,0.63583,0.80771,0
0,0.64062,0.80024,0
0,0.63262,0.8125,0
0,0.64203,0.79828,0
0,0.35254,0.81933,0
0,0.35652,0.82527,0
0,0.35836,0.82812,0
0,0.62243,0.82555,0
0,0.625,0.8225,0
0,0.62036,0.82812,0
0,0.62946,0.81696,0
0,0.35879,0.82871,0
0,0.35938,0.82933,0
0,0.36608,0.83704,0
0,0.37269,0.84375,0
0,0.60711,0.84149,0
0,0.60938,0.83956,0
0,0.60426,0.84375,0
0,0.61529,0.83404,0
0,0.37381,0.84494,0
0,0.375,0.8459,0
0,0.38437,0.85312,0
0,0.39062,0.85746,0
0,0.38253,0.85184,0
0,0.39177,0.85823,0
0,0.39342,0.85938,0
0,0.57783,0.85908,0
0,0.57812,0.8589,0
0,0.57742,0.85938,0
0,0.58814,0.85376,0
0,0.59375,0.8508,0
0,0.57899,0.85851,0
0,0.59822,0.84822,0
0,0.40131,0.86432,0
0,0.40625,0.86701,0
0,0.42083,0.87395,0
0,0.42188,0.87436,0
0,0.41159,0.86966,0
0,0.4223,0.87457,0
0,0.42322,0.875,0
0,0.55957,0.87207,0
0,0.5625,0.86966,0
0,0.55682,0.875,0
0,0.56831,0.86518,0
0,0.43332,0.87918,0
0,0.4375,0.88086,0
0,0.44604,0.88354,0
0,0.45312,0.88555,0
0,0.44492,0.8832,0
0,0.46858,0.89046,0
0,0.46875,0.89049,0
0,0.45688,0.88687,0
0,0.46885,0.89053,0
0,0.46917,0.89062,0
0,0.54366,0.88741,0
0,0.54688,0.88472,0
0,0.53891,0.89062,0
0,0.55195,0.88008,0
0,0.48108,0.89392,0
0,0.48438,0.89493,0
0,0.48941,0.89566,0
0,0.49409,0.89654,0
0,0.5,0.89763,0
0,0.5075,0.89812,0
0,0.5081,0.89815,0
0,0.51562,0.89824,0
0,0.52228,0.89728,0
0,0.52533,0.89655,0
0,0.53125,0.89525,0
0,0.53439,0.89376,0
